Simulation results for 1 VNF: 

SFC Availability greedy 2: 0.9547350872693595

SFC availability via MCF: 0.9618703676907395


SFC Availability greedy 1: 0.9630239713112227

SFC Availability greedy 2: 0.9525389965366555

SFC availability via MCF: 0.9630239713112227


SFC Availability greedy 1: 0.9597813000960174

SFC Availability greedy 2: 0.9489866004898142

SFC availability via MCF: 0.9597813000960171


SFC Availability greedy 1: 0.9570263787158083

SFC Availability greedy 2: 0.9459341525976693

SFC availability via MCF: 0.957026378715808


SFC Availability greedy 1: 0.9613408247109165

SFC Availability greedy 2: 0.9498621393106609

SFC availability via MCF: 0.9613408247109165


SFC Availability greedy 1: 0.9673630106905093

SFC Availability greedy 2: 0.9596602387089805

SFC availability via MCF: 0.9673630106905092


Simulation results for 28 VNF: 


SFC Availability greedy 1: 0.957585746894612

SFC Availability greedy 2: 0.9428397969001585

SFC availability via MCF: 0.957585746894612


SFC Availability greedy 1: 0.9403331524137775

SFC Availability greedy 2: 0.9273703157060909

SFC availability via MCF: 0.9403331524137775


SFC Availability greedy 1: 0.9565997282372087

SFC Availability greedy 2: 0.9423941246488307

SFC availability via MCF: 0.956599728237209


SFC Availability greedy 1: 0.9485475645603881

SFC Availability greedy 2: 0.9376379071219831

SFC availability via MCF: 0.9485475645603882


SFC Availability greedy 1: 0.9541980025271893

SFC Availability greedy 2: 0.9411230308956551

SFC availability via MCF: 0.9541980025271896


SFC Availability greedy 1: 0.9485464617690933

SFC Availability greedy 2: 0.9341725780663428

SFC availability via MCF: 0.9485464617690934


SFC Availability greedy 1: 0.9414252896762215

SFC Availability greedy 2: 0.9270055115054477

SFC availability via MCF: 0.9414252896762215


SFC Availability greedy 1: 0.9615864336185713

SFC Availability greedy 2: 0.9508805020526973

SFC availability via MCF: 0.9615864336185715


SFC Availability greedy 1: 0.9485474084162637

SFC Availability greedy 2: 0.9387719281477216

SFC availability via MCF: 0.9485474084162641

